Functor.map_id	thm	Freyd/S1_18.lean	64	∀ {C : Type u₁} {D : Type u₂} [inst : Cat C] [inst_1 : Cat D] (self : Functor C D) (X : C), self.map (Cat.id X) = Cat.id (self.obj X)		3651285097	21
Functor.map_comp	thm	Freyd/S1_18.lean	65	∀ {C : Type u₁} {D : Type u₂} [inst : Cat C] [inst_1 : Cat D] (self : Functor C D) {X Y Z : C} (f : Cat.Hom X Y) (g : Cat.Hom Y Z), self.map (Cat.comp f g) = Cat.comp (self.map f) (self.map g)		1937451230	21
idFunctor	abbrev	Freyd/S1_18.lean	67	{𝒞 : Type u} → [inst : Cat 𝒞] → Functor 𝒞 𝒞	The identity functor `1_𝒞` : every object and morphism maps to itself.	12532622460245172853	33
compFunctor	def	Freyd/S1_18.lean	77	{C : Type u₁} → [inst : Cat C] → {D : Type u₂} → [inst_1 : Cat D] → {E : Type u₃} → [inst_2 : Cat E] → Functor C D → Functor D E → Functor C E	Composition of two functors, in diagram order: first `F`, then `G`.	16124214079366887428	113
idFunctor_obj	thm	Freyd/S1_18.lean	94	∀ {𝒞 : Type u} [inst : Cat 𝒞] (X : 𝒞), idFunctor.obj X = X	Definitional computation lemmas for `idFunctor`/`compFunctor` (all `rfl`), marked	3754028474	22
idFunctor_map	thm	Freyd/S1_18.lean	96	∀ {𝒞 : Type u} [inst : Cat 𝒞] {X Y : 𝒞} (f : Cat.Hom X Y), idFunctor.map f = f	Definitional computation lemmas for `idFunctor`/`compFunctor` (all `rfl`), marked	2698046981	45
compFunctor_obj	thm	Freyd/S1_18.lean	98	∀ {C : Type u₁} [inst : Cat C] {D : Type u₂} [inst_1 : Cat D] {E : Type u₃} [inst_2 : Cat E] (F : Functor C D) (G : Functor D E) (X : C), (compFunctor F G).obj X = G.obj (F.obj X)	Definitional computation lemmas for `idFunctor`/`compFunctor` (all `rfl`), marked	2528758292	56
compFunctor_map	thm	Freyd/S1_18.lean	102	∀ {C : Type u₁} [inst : Cat C] {D : Type u₂} [inst_1 : Cat D] {E : Type u₃} [inst_2 : Cat E] (F : Functor C D) (G : Functor D E) {X Y : C} (f : Cat.Hom X Y), (compFunctor F G).map f = G.map (F.map f)	Definitional computation lemmas for `idFunctor`/`compFunctor` (all `rfl`), marked	3135097201	80
MorphProp	abbrev	Freyd/S1_18.lean	108	Type (max (max (max (u + 1) (v + 1)) u) v)	A property of morphisms, uniform across all categories (e.g. `@Monic`, `@IsIso`, `@Cover`).	2157705488624761645	18
Preserves	def	Freyd/S1_18.lean	111	{ℰ ℱ : Type u} → [inst : Cat ℰ] → [inst_1 : Cat ℱ] → Functor ℰ ℱ → MorphProp → Prop	`F` PRESERVES `P` if it carries `P`-arrows to `P`-arrows.	10412944292279030	61
Reflects	def	Freyd/S1_18.lean	115	{ℰ ℱ : Type u} → [inst : Cat ℰ] → [inst_1 : Cat ℱ] → Functor ℰ ℱ → MorphProp → Prop	`F` REFLECTS `P` if a `P`-image forces a `P`-arrow (the shape of the §1.531 Slice Lemma).	4519978080745368565	61
PreservesMono	def	Freyd/S1_18.lean	130	{C : Type u₁} → [inst : Cat C] → {D : Type u₂} → [inst_1 : Cat D] → Functor C D → Prop	`F` PRESERVES monos: it carries monos to monos.	3728628879761908680	63
ReflectsMono	def	Freyd/S1_18.lean	135	{C : Type u₁} → [inst : Cat C] → {D : Type u₂} → [inst_1 : Cat D] → Functor C D → Prop	`F` REFLECTS monos: a mono image forces a mono.	63593307631898745	63
functor_preserves_iso	thm	Freyd/S1_18.lean	140	∀ {𝒞 : Type u₁} {𝒟 : Type u₂} [inst : Cat 𝒞] [inst_1 : Cat 𝒟] {F : Functor 𝒞 𝒟} {X Y : 𝒞} (f : Cat.Hom X Y), IsIso f → IsIso (F.map f)	**§1.181**: a functor preserves isomorphisms. If `f : X → Y` has a two-sided inverse in `𝒞`,	2559902801	484
preserves_iso	thm	Freyd/S1_18.lean	153	∀ {𝒞 : Type u} [inst : Cat 𝒞] {𝒟 : Type u} [inst_1 : Cat 𝒟] (F : Functor 𝒞 𝒟), Preserves F @IsIso	**§1.181 restated**: every functor preserves isomorphisms. This is the one	3250087685	47
preserves_has_right_inv	thm	Freyd/S1_18.lean	159	∀ {𝒞 : Type u} [inst : Cat 𝒞] {𝒟 : Type u} [inst_1 : Cat 𝒟] (F : Functor 𝒞 𝒟), Preserves F fun {𝒜} [Cat 𝒜] {X Y} => RightInvertible	**§1.181**: every functor preserves right-invertibility.	138880002	272
preserves_has_left_inv	thm	Freyd/S1_18.lean	164	∀ {𝒞 : Type u} [inst : Cat 𝒞] {𝒟 : Type u} [inst_1 : Cat 𝒟] (F : Functor 𝒞 𝒟), Preserves F fun {𝒜} [Cat 𝒜] {X Y} => LeftInvertible	**§1.181**: every functor preserves left-invertibility.	2978254890	272
functor_map_inv	thm	Freyd/S1_18.lean	172	∀ {𝒞 : Type u} [inst : Cat 𝒞] {𝒟 : Type u} [inst_1 : Cat 𝒟] {F : Functor 𝒞 𝒟} {X Y : 𝒞} (f : Cat.Hom X Y) (g : Cat.Hom Y X), Cat.comp f g = Cat.id X → Cat.comp g f = Cat.id Y → Cat.comp (F.map f) (F.map g) = Cat.id (F.obj X) ∧ Cat.comp (F.map g) (F.map f) = Cat.id (F.obj Y)	**§1.181**: the image of the inverse is an inverse of the image.	2308328069	326
OppCat	def	Freyd/S1_18.lean	196	Type u → Type u	**§1.182**: The OPPOSITE CATEGORY `OppCat 𝒞` has the same objects as `𝒞`	6517391565525401255	3
oppCatInst	instance	Freyd/S1_18.lean	201	(C : Type u) → [cat : Cat C] → Cat (OppCat C)	§1.182  Opposite category and contravariant functors	9508798291712391667	78
toOpp	abbrev	Freyd/S1_18.lean	209	{C : Type u} → C → OppCat C	The canonical coercion: every object of `C` is trivially an object of `OppCat C`.	7779636680046313097	4
